Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
35.0,4.0,12.311072,76.654878,12.351072,76.694878,01-03-2022,14:55,15:10,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33
38.0,4.9,22.761226,75.887522,22.891226,76.017522,27-03-2022,21:25,21:40,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,30
37.0,4.6,13.026279,80.174568,13.076279,80.224568,24-03-2022,21:15,21:30,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,32
37.0,4.9,18.56245,73.916619,18.59245,73.946619,13-03-2022,18:20,18:30,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,27
29.0,5.0,18.569156,73.774723,18.639156,73.844723,10-03-2022,19:35,19:45,Sandstorms,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,28
27.0,4.7,21.186608,72.794136,21.316608,72.924136,04-03-2022,0.958333333,23:15,Cloudy,Low,2,Buffet,scooter,1.0,No,Metropolitian,24
31.0,4.8,22.725835,75.887648,22.855835,76.017648,08-03-2022,17:45,17:55,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Urban,36
26.0,4.2,11.006686,76.951736,11.136686,77.081736,06-03-2022,21:45,0.916666667,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,44
35.0,5.0,30.902872,75.826808,31.012872,75.936808,14-02-2022,19:25,19:40,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,26
21.0,4.6,0.0,0.0,0.07,0.07,02-03-2022,18:50,18:55,Stormy,Medium,2,Buffet,scooter,0.0,No,Urban,21
31.0,4.9,22.725748,75.898497,22.755747,75.928497,11-03-2022,23:35,23:50,Windy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,23
26.0,4.6,19.120083,72.907385,19.140083,72.927385,09-03-2022,10:45,10:50,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,18
29.0,4.5,12.316967,76.603067,12.426967,76.713067,23-03-2022,23:30,23:45,Windy,Low,2,Buffet,scooter,0.0,No,Metropolitian,14
26.0,4.9,12.323225,76.630028,12.333225,76.640028,03-04-2022,08:50,09:05,Cloudy,Low,2,Drinks,scooter,0.0,No,Metropolitian,16
32.0,4.5,12.325461,76.632278,12.415461,76.722278,04-03-2022,22:35,22:40,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,15
,,22.728163,75.884212,22.858163,76.014212,14-03-2022,,0.75,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,37
